,DE,FR,IT,ES,NL,CH,UK,PL,SE,NO,BE,AT,PT,DK,FI,IE
2012-10-31,0.43669908495523924,-1.3616857772593562,-0.678952612994291,-0.24039461551087066,1.1579556175536279,-0.02916699972454311,0.13587072779504816,-0.2661098132201732,0.5339117906293703,-0.43278569638807596,-1.6063068965977574,-1.201301106597489,-0.6230478194599479,-0.01746325218526576,-0.35248686114437316,0.2262205819764255
2012-11-30,0.4316395547032667,-0.241498434306511,0.013297423711731076,0.0767841101357795,0.9145884607108593,0.07597221490804702,0.4219073194975117,-0.03100211455201508,0.6950765467577518,-0.20079353027307215,0.34377336325474345,-0.6594494126485291,-0.6304840663568185,-0.0008309255598914819,-0.6106044584502811,0.36531690146628804
2012-12-31,0.30873575218296156,-0.17969732912715605,-0.03088346433696758,-0.12885517567945473,0.8663638781323945,-0.09838978629821954,0.7375892407470354,-0.3683136089715564,0.791633012899792,0.09507087680020956,0.4389785087775012,-0.4679140107215994,-0.624808530423806,0.21141759565611218,-0.7319869892486619,0.426820422191749
2013-01-31,0.15339463159340677,-0.4471263209022178,-0.06977663278251185,-0.2264448777457498,0.7107033379853588,-0.7122128815474438,0.4144949204853147,-0.1486284805584383,0.2188358511127519,0.35964797888567857,-0.10324644923282003,-0.37267932165988127,-0.5539061220528487,-1.1845863263820973,-0.36916459697948645,0.40634993319804263
2013-02-28,0.15377195772464358,-0.0738184046671462,-0.5843877200572346,0.07770225506152985,0.7001427688767425,-0.7890887454995104,0.41281454867073103,0.12945001433694414,0.20578252820711418,0.35964797888567107,0.059116349713460845,-0.03475115266965526,-0.18319469054919546,-1.1710835910091293,-0.35578285043770214,0.5693788765623216
2013-03-31,-0.06340470327602214,-0.23453987202999657,-0.3546330649811667,-0.15066311252964076,0.3602148121820769,-1.0583320734148822,0.042672597326694796,0.17080609808697209,-0.036545675178044974,0.04941904963063733,0.008686453001813936,-0.14512779007348495,-0.20162195690458462,-1.3564303174266472,-0.5173206473598683,0.5925892312960005
2013-04-30,-0.076176206913749,-0.5450079467723475,0.08351968254609761,-0.24997217352392465,0.30037391319285073,-0.986783672587063,-0.0027178922004472156,0.18636403813299193,0.053269155659227435,0.027275823225007604,-0.2800727133246315,-0.26004603793378134,0.17084096542814986,-1.3568023737001844,-0.46187704121935313,0.5869081306086107
2013-05-31,-0.19224100614973944,-0.1618895630497282,-0.2842404986878625,-0.624099525730219,-0.27102296464842734,-0.6395431810391565,0.14557142168501844,-0.050315795482895734,0.06286056537031032,0.16582872302760854,0.04806205925994004,-0.3194144419089979,0.016995607530882625,-1.736303590233179,-0.6815660862559072,0.7436486234904931
2013-06-30,-0.0753582460958464,-0.4204175287256458,-0.5533064840500473,-0.5430427067363862,-0.7269010728462524,-0.8613584210834981,-0.16971374398073857,-1.747461015495285,0.29765395871902267,0.3179326243711987,-0.27809339016779,-0.49986973143800645,-0.27997294031962217,-1.202248562778366,-0.4482398486799106,-0.23862582239213068
2013-07-31,0.10275210282078714,-0.38296184378932707,-0.5999723775114811,-0.6665589899438574,-0.7737773212095628,-0.860260839898504,0.18689014065117723,-1.5198164001334191,0.6466498505808762,0.6922238519626316,-0.6907862370873878,-0.41453450100764566,-0.21275957672772042,-1.1700970363301397,-0.45180582177134054,-0.8588914334729747
